id,x,y
?,0.4657767543072326,0.6299824492032198
ARKM-2005-02-03-35-001,0.5712620368053338,0.41654843455772034
ARKM-2005-02-03-47-001,0.43937828556482506,0.7557122183603546
ARKM.1988-111-X367-5,0.8352466545095524,0.40169449256381173
ARKM.1988-111-X373-9,0.8316274014215544,0.4260991584782721
ARKM.1996-232-10,0.5807065655433817,-0.05175915140960503
ARKM.1996-232-11,0.5265975884052486,0.01339958495025353
ARKM.1996-232-12,0.5489562999045909,0.016165669888945952
ARKM.1996-232-13,0.5715966942190461,-0.03275300898728988
ARKM.1996-232-14,0.5955041679851634,0.037323598724852663
ARKM.1996-232-15,0.5580098194303154,0.03051525024949143
ARKM.1996-32-,0.6181525572922922,0.7664395496615266
ARKM.1996-32-061-01,0.673424020206138,0.6529578688222077
ARKM.1996-32-067-01,0.4787205826905158,0.5780026124547781
ARKM.1996-32-067-02,0.5217092867738916,0.6242080376794387
ARKM.1996-32-067-03,0.5044254325874058,0.5977128886848899
ARKM.1996-32-067-04,0.5157129878109438,0.690680853249106
ARKM.1996-32-067-05,0.4532510614248865,0.6046485493880251
ARKM.1996-32-067-06,0.3973035469432142,0.6346173648944933
ARKM.1996-32-067-07,0.34745560323796465,0.6086107405142643
ARKM.1996-32-067-08,0.5906497056553034,0.6744813866930577
ARKM.1996-32-067-09,0.5506414144017175,0.7057798472720188
ARKM.1996-32-067-11,0.5952561664911002,0.7026087143065497
ARKM.1996-32-067-12,0.4441721871337466,0.650185784175376
ARKM.1996-32-067-13,0.3593377030587331,0.645441453254926
ARKM.1996-32-072-001,0.3788835817929252,0.7550256747831863
ARKM.1996-32-200-17-001,0.11383294018541674,0.8051252962479779
ARKM.2005-02-,0.3053649460013331,0.8258030510050246
ARKM.2005-02-01-04-018,0.17003356544442927,0.9127838743424537
ARKM.2005-02-01-32-,0.5201313344852234,0.4938262567836777
ARKM.2005-02-01-32-001,0.454425677996059,0.42418713035561123
ARKM.2005-02-01-32-002,0.4726229406517306,0.4231877911954142
ARKM.2005-02-03-,0.9949557861475545,0.2480750701567689
ARKM.2005-02-03-19-01,0.27918631719864895,0.5021692613440806
"ARKM.2005-02-03-20
EJ?",0.5830592368360951,0.5790840173977865
ARKM.2005-02-03-20-01,0.3282353556006484,0.513223334404057
"ARKM.2005-02-03-20-02
",0.3704172008935177,0.5299908480119762
ARKM.2005-02-03-20-03,0.3293554649142073,0.45335592779602546
ARKM.2005-02-03-20-04,0.7279508966448184,0.557201009832056
ARKM.2005-02-03-27-01,0.663743790058289,0.5712976252964539
ARKM.2005-02-03-27-02,0.6724607250860858,0.5515442386537991
"ARKM.2005-02-03-27-03
",0.6419305839311562,0.5918808305254184
ARKM.2005-02-03-39-01,0.3725701740341758,0.4520516426288944
ARKM.2005-02-03-50-001,0.4607618721392441,0.7086675021221754
ARKM.2005-02-03-50-002,0.42747650035655693,0.6978967468107026
ARKM.2005-02-03-56-01,0.597471349196302,0.5151641706345419
